Name,2018,2019,2020,2021,2022,2023,2024,2025
SWIRE PROPERTIES - RETURN ON ASSETS,9.1,4.18,1.31,2.19,2.4,0.88,0.08,NA
SWIRE PROPERTIES - TOTAL DEBT % COMMON EQUITY,11.46,10.55,9.64,8.78,8.2,14.65,18.48,NA
SWIRE PROPERTIES - TOTAL DEBT % TOTAL CAPITAL/STD,10.21,9.49,8.74,8.02,7.5,12.66,15.45,NA
SWIRE PROPERTIES - BOOK VALUE-OUT SHARES-FISCAL,47.739,49.047,49.357,49.941,49.438,48.732,47.354,NA
SWIRE PROPERTIES - PRICE TO BOOK VAL,0.58,0.66,0.44,0.47,0.41,0.41,0.32,0.33
SWIRE PACIFIC LTD - RETURN ON ASSETS,6.03,2.48,-2.04,1.07,1.23,7.05,1.55,NA
SWIRE PACIFIC LTD - TOTAL DEBT % COMMON EQUITY,26.54,26.85,27.91,25.06,28.36,27.71,37.4,NA
SWIRE PACIFIC LTD - TOTAL DEBT % TOTAL CAPITAL/STD,18.09,18.22,18.68,17.1,18.83,18.62,23.26,NA
SWIRE PACIFIC LTD - BOOK VALUE-OUT SHARES-FISCAL,180.093,182.043,174.944,177.779,177.749,186.034,187.345,NA
SWIRE PACIFIC LTD - PRICE TO BOOK VAL,0.44,0.54,0.3,0.35,0.25,0.28,0.33,0.33
YOUZAN TECHNO - RETURN ON ASSETS,-11.32,-6.79,-2.33,-26.56,-4.11,0.59,-2.74,NA
YOUZAN TECHNO - TOTAL DEBT % COMMON EQUITY,0,11.4,6.28,20.32,40.68,53.97,38.23,NA
YOUZAN TECHNO - TOTAL DEBT % TOTAL CAPITAL/STD,0,9.66,4.97,16.99,35.49,35.33,27.69,NA
YOUZAN TECHNO - BOOK VALUE-OUT SHARES-FISCAL,0.282,0.265,0.266,0.096,0.087,0.034,0.037,NA
YOUZAN TECHNO - PRICE TO BOOK VAL,1.95,2.57,2.48,25.92,1.97,6.52,2.35,2.55
HAITONG INTL SEC - RETURN ON ASSETS,2.33,2.8,2.5,0.61,-5.36,NA,NA,NA
HAITONG INTL SEC - TOTAL DEBT % COMMON EQUITY,324.54,313.33,235.15,175.04,257.06,NA,NA,NA
HAITONG INTL SEC - TOTAL DEBT % TOTAL CAPITAL/STD,76.44,75.81,70.16,63.64,71.99,NA,NA,NA
HAITONG INTL SEC - BOOK VALUE-OUT SHARES-FISCAL,3.98,4.093,4.22,4.102,3.083,NA,NA,NA
HAITONG INTL SEC - PRICE TO BOOK VAL,1.08,0.65,0.39,0.56,0.39,0.22,0.49,0.49
PCCW LTD - RETURN ON ASSETS,2.41,2.24,-0.16,2.21,1.69,1.94,1.85,NA
PCCW LTD - TOTAL DEBT % COMMON EQUITY,318.19,380.53,609.67,650.02,1035.85,2421.4,3729.74,NA
PCCW LTD - TOTAL DEBT % TOTAL CAPITAL/STD,73.5,76.69,81.71,85.17,89.32,94.03,91.4,NA
PCCW LTD - BOOK VALUE-OUT SHARES-FISCAL,2.214,2.013,1.285,1.097,0.718,0.321,0.207,NA
PCCW LTD - PRICE TO BOOK VAL,2.1,2.35,3.39,4.09,6.22,12.54,19.01,23.16
TECHTRONIC INDUS - RETURN ON ASSETS,10.01,9.59,9.92,10.24,8.77,8.56,9.86,NA
TECHTRONIC INDUS - TOTAL DEBT % COMMON EQUITY,34.01,51.09,43.59,81.25,74.11,49.44,33.16,NA
TECHTRONIC INDUS - TOTAL DEBT % TOTAL CAPITAL/STD,25.38,33.82,30.36,44.83,42.57,33.08,24.9,NA
TECHTRONIC INDUS - BOOK VALUE-OUT SHARES-FISCAL,13.097,14.45,16.51,20.069,22.159,24.468,26.979,NA
TECHTRONIC INDUS - PRICE TO BOOK VAL,3.42,3.97,3.44,6.93,4.97,3.44,4.08,2.73
TELEVISION BROADCAST - RETURN ON ASSETS,-0.7,-2.07,-2.05,-6.4,-10.36,-9.84,-6.29,NA
TELEVISION BROADCAST - TOTAL DEBT % COMMON EQUITY,49.24,41.84,73.98,47.23,64.59,87.11,95.6,NA
TELEVISION BROADCAST - TOTAL DEBT % TOTAL CAPITAL/STD,32.55,28.98,41.72,30.95,38.54,46.67,49.64,NA
TELEVISION BROADCAST - BOOK VALUE-OUT SHARES-FISCAL,14.116,12.447,11.703,9.952,7.989,6.197,4.848,NA
TELEVISION BROADCAST - PRICE TO BOOK VAL,1.76,1.24,0.86,0.88,0.62,1.43,0.47,0.46
CHINA UNICOM - RETURN ON ASSETS,2.08,2.36,2.34,2.63,2.81,3.08,3.32,NA
CHINA UNICOM - TOTAL DEBT % COMMON EQUITY,11.76,16.93,13.04,10.55,16.44,12.96,11.01,NA
CHINA UNICOM - TOTAL DEBT % TOTAL CAPITAL/STD,10.52,14.45,11.51,9.52,14.05,11.4,9.86,NA
CHINA UNICOM - BOOK VALUE-OUT SHARES-FISCAL,11.681,11.702,12.677,13.322,12.639,12.634,12.559,NA
CHINA UNICOM - PRICE TO BOOK VAL,0.86,0.85,0.41,0.33,0.31,0.48,0.46,0.69
VINDA INTERNATIONAL - RETURN ON ASSETS,4.42,6.97,9.86,7.5,3.41,1.75,NA,NA
VINDA INTERNATIONAL - TOTAL DEBT % COMMON EQUITY,60.09,45.85,42.29,38.42,33.69,38.06,NA,NA
VINDA INTERNATIONAL - TOTAL DEBT % TOTAL CAPITAL/STD,36.96,30.84,29.22,27.34,24.82,27.13,NA,NA
VINDA INTERNATIONAL - BOOK VALUE-OUT SHARES-FISCAL,6.417,7.078,8.19,8.836,8.81,8.713,NA,NA
VINDA INTERNATIONAL - PRICE TO BOOK VAL,1.86,1.91,1.96,2.42,1.77,2.08,2.44,2.44
VITASOY INTERNAT - RETURN ON ASSETS,12.35,12.83,9,8.29,-1.99,1.08,2.62,NA
VITASOY INTERNAT - TOTAL DEBT % COMMON EQUITY,0.96,1.41,15.5,9.28,20.8,22.14,18.6,NA
VITASOY INTERNAT - TOTAL DEBT % TOTAL CAPITAL/STD,0.88,1.27,12.43,7.82,15.96,17.57,15.22,NA
VITASOY INTERNAT - BOOK VALUE-OUT SHARES-FISCAL,2.748,2.982,2.941,3.388,3.045,2.787,2.801,NA
VITASOY INTERNAT - PRICE TO BOOK VAL,7.11,13.33,8.04,9.54,5.02,5.16,2.18,3.53
VTECH HOLDINGS LTD - RETURN ON ASSETS,19.22,15.79,17.3,18.08,12.39,11.22,13.51,NA
VTECH HOLDINGS LTD - TOTAL DEBT % COMMON EQUITY,0,0,27.46,28.19,29.04,28.34,24.6,NA
VTECH HOLDINGS LTD - TOTAL DEBT % TOTAL CAPITAL/STD,0,0,21.55,21.99,22.5,22.08,19.75,NA
VTECH HOLDINGS LTD - BOOK VALUE-OUT SHARES-FISCAL,20.191,18.94,18.517,22.543,21.065,19.716,19.961,NA
VTECH HOLDINGS LTD - PRICE TO BOOK VAL,5.25,3.98,2.56,3.42,2.85,2.36,2.29,2.35
BEIJING ENTERPRISES - RETURN ON ASSETS,5.45,4.96,3.86,3.55,1.85,2.55,2.46,NA
BEIJING ENTERPRISES - TOTAL DEBT % COMMON EQUITY,244.72,221.49,221.93,207.38,264.34,281.63,301.33,NA
BEIJING ENTERPRISES - TOTAL DEBT % TOTAL CAPITAL/STD,65.5,61.94,61.14,56.97,60.91,62.17,63.36,NA
BEIJING ENTERPRISES - BOOK VALUE-OUT SHARES-FISCAL,2.708,3.048,3.608,3.829,3.254,3.108,2.933,NA
BEIJING ENTERPRISES - PRICE TO BOOK VAL,1.68,1.57,0.85,0.78,0.77,0.63,0.62,0.78
SINOFERT HOLDINGS - RETURN ON ASSETS,3.41,4.59,3.93,5.13,5.91,3.16,5.14,NA
SINOFERT HOLDINGS - TOTAL DEBT % COMMON EQUITY,42.02,31.28,22.08,12.51,19.13,18.83,17.95,NA
SINOFERT HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,29.88,23.94,17.79,10.85,15.74,15.57,14.96,NA
SINOFERT HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,1.19,1.234,1.353,1.527,1.532,1.521,1.578,NA
SINOFERT HOLDINGS - PRICE TO BOOK VAL,0.83,0.83,0.52,0.66,0.87,0.64,0.55,0.76
CHINA TRADITIONAL - RETURN ON ASSETS,6.23,5.91,5.59,6.09,2.58,3.99,0.21,NA
CHINA TRADITIONAL - TOTAL DEBT % COMMON EQUITY,39.44,34.33,28.9,25.68,25,24.39,18.94,NA
CHINA TRADITIONAL - TOTAL DEBT % TOTAL CAPITAL/STD,25.74,22.81,19.68,18.01,17.74,17.48,14.17,NA
CHINA TRADITIONAL - BOOK VALUE-OUT SHARES-FISCAL,3.516,3.693,4.26,4.803,4.534,4.622,4.481,NA
CHINA TRADITIONAL - PRICE TO BOOK VAL,1.79,1.33,0.81,0.95,0.92,0.93,0.94,0.42
WHA - RETURN ON ASSETS,6.76,1.61,-2.48,1.77,-2.93,2.64,0.78,NA
WHA - TOTAL DEBT % COMMON EQUITY,19.24,21.07,26.54,23.94,24.42,19.55,18.92,NA
WHA - TOTAL DEBT % TOTAL CAPITAL/STD,15.8,17.06,20.58,18.96,19.26,16.06,15.62,NA
WHA - BOOK VALUE-OUT SHARES-FISCAL,72.068,71.2,67.375,67.887,62.702,63.047,61.864,NA
WHA - PRICE TO BOOK VAL,0.77,0.81,0.44,0.64,0.61,0.71,0.39,0.27
HENGDELI HOLD - RETURN ON ASSETS,1.47,-6.8,-8.95,0.82,-2.16,1.05,-1.72,NA
HENGDELI HOLD - TOTAL DEBT % COMMON EQUITY,3.29,10.53,1.89,3.05,3.13,3.88,2.58,NA
HENGDELI HOLD - TOTAL DEBT % TOTAL CAPITAL/STD,3.13,9.34,1.81,2.9,2.98,3.67,2.46,NA
HENGDELI HOLD - BOOK VALUE-OUT SHARES-FISCAL,1.067,0.935,0.858,0.88,0.813,0.796,0.776,NA
HENGDELI HOLD - PRICE TO BOOK VAL,0.36,0.42,0.34,0.34,0.31,0.18,0.16,0.12
XINYI GLASS HLDGS - RETURN ON ASSETS,14.02,13.7,16.22,23.05,10.01,11.21,7.44,NA
XINYI GLASS HLDGS - TOTAL DEBT % COMMON EQUITY,53.53,51.89,41.81,44.93,42.34,22.91,21.36,NA
XINYI GLASS HLDGS - TOTAL DEBT % TOTAL CAPITAL/STD,34.77,34.07,29.41,30.93,29.67,18.59,17.56,NA
XINYI GLASS HLDGS - BOOK VALUE-OUT SHARES-FISCAL,4.664,5.187,6.902,8.609,7.781,8.467,7.869,NA
XINYI GLASS HLDGS - PRICE TO BOOK VAL,2.58,1.82,1.31,2.97,2.3,1.66,1.04,0.82
YUE YUEN INDUSTRIAL - RETURN ON ASSETS,4.47,4.38,-0.26,1.85,4.19,4.51,6.03,NA
YUE YUEN INDUSTRIAL - TOTAL DEBT % COMMON EQUITY,51.46,60.81,60.6,53.05,42.27,29.34,21.86,NA
YUE YUEN INDUSTRIAL - TOTAL DEBT % TOTAL CAPITAL/STD,31.84,35.48,35.05,32.07,27.61,20.9,16.49,NA
YUE YUEN INDUSTRIAL - BOOK VALUE-OUT SHARES-FISCAL,19.996,19.805,18.733,19.819,20.297,20.538,21.487,NA
YUE YUEN INDUSTRIAL - PRICE TO BOOK VAL,1.43,1.33,0.71,0.98,0.53,0.54,0.58,0.55
SAMSUNG FIRE & MARIN - RETURN ON ASSETS,1.41,0.82,0.89,1.26,1.49,2.59,2.81,NA
SAMSUNG FIRE & MARIN - TOTAL DEBT % COMMON EQUITY,0,1.94,1.29,1.95,1.69,1.17,3.17,NA
SAMSUNG FIRE & MARIN - TOTAL DEBT % TOTAL CAPITAL/STD,0,1.15,0.7,1.19,1.53,0.92,2.61,NA
SAMSUNG FIRE & MARIN - BOOK VALUE-OUT SHARES-FISCAL,198391.723,201766.432,210490.464,225147.35,238640.525,298677.119,310411.912,NA
SAMSUNG FIRE & MARIN - PRICE TO BOOK VAL,1.33,1.47,0.87,0.84,0.92,0.68,0.95,1.1
ALTEOGEN INC - RETURN ON ASSETS,-12.13,-0.66,-0.14,-1.56,-3.06,-1.08,20.84,NA
ALTEOGEN INC - TOTAL DEBT % COMMON EQUITY,2.72,8.36,10.85,84.04,57.65,56.56,37.12,NA
ALTEOGEN INC - TOTAL DEBT % TOTAL CAPITAL/STD,2.63,7.69,9.45,46.12,37.03,36.17,27.03,NA
ALTEOGEN INC - BOOK VALUE-OUT SHARES-FISCAL,1451.817,1398.857,2592.76,2686.295,2880.1,2795.235,5133.551,NA
ALTEOGEN INC - PRICE TO BOOK VAL,7.15,8.84,9.65,27.61,15.07,18.21,33.8,72.95
AMOREPACIFIC CORP - RETURN ON ASSETS,6.27,4.47,0.86,3.44,2.4,3.27,9.85,NA
AMOREPACIFIC CORP - TOTAL DEBT % COMMON EQUITY,2.63,12.58,9.42,8.19,7.44,7.15,8.38,NA
AMOREPACIFIC CORP - TOTAL DEBT % TOTAL CAPITAL/STD,2.55,11.16,8.61,7.6,6.95,6.71,7.63,NA
AMOREPACIFIC CORP - BOOK VALUE-OUT SHARES-FISCAL,64108.941,65539.122,65223.18,69063.625,69549.851,70961.497,76148.631,NA
AMOREPACIFIC CORP - PRICE TO BOOK VAL,5.23,3.12,2.64,3.66,2.24,1.93,1.67,1.43
HYUNDAI WIA CORP - RETURN ON ASSETS,0.15,1.72,1.34,1.21,1.27,1.79,2.23,NA
HYUNDAI WIA CORP - TOTAL DEBT % COMMON EQUITY,75.06,69.92,89.19,78.23,66.95,43.07,34.54,NA
HYUNDAI WIA CORP - TOTAL DEBT % TOTAL CAPITAL/STD,42.88,41.15,44.1,40.76,37.31,27.94,23.59,NA
HYUNDAI WIA CORP - BOOK VALUE-OUT SHARES-FISCAL,114334.846,116400.894,117390.363,122356.417,124562.843,127286.166,135016.4,NA
HYUNDAI WIA CORP - PRICE TO BOOK VAL,0.46,0.43,0.3,0.64,0.49,0.51,0.43,0.3
DOOSAN BOBCAT - RETURN ON ASSETS,4.78,4.66,4.09,5.53,7.93,10.32,5.73,NA
DOOSAN BOBCAT - TOTAL DEBT % COMMON EQUITY,29.39,20.87,27.07,45.86,30.07,23.84,29.72,NA
DOOSAN BOBCAT - TOTAL DEBT % TOTAL CAPITAL/STD,22.72,17.26,21.3,31.44,23.12,19.25,22.91,NA
DOOSAN BOBCAT - BOOK VALUE-OUT SHARES-FISCAL,37193.894,39586.67,40553.738,43234.721,49950.662,59731.108,70248.214,NA
DOOSAN BOBCAT - PRICE TO BOOK VAL,0.83,0.79,0.56,0.97,0.8,0.72,0.73,0.62
SAMSUNG BIOLOGICS - RETURN ON ASSETS,3.58,3.84,4.14,5.61,6.91,5.64,6.73,NA
SAMSUNG BIOLOGICS - TOTAL DEBT % COMMON EQUITY,21,15.01,17.07,25.9,27.98,19.42,13.63,NA
SAMSUNG BIOLOGICS - TOTAL DEBT % TOTAL CAPITAL/STD,17.36,13.05,14.58,20.57,21.86,16.26,11.99,NA
SAMSUNG BIOLOGICS - BOOK VALUE-OUT SHARES-FISCAL,62069.566,65041.777,68691.287,74551.292,126232.534,138119.15,153211.511,NA
SAMSUNG BIOLOGICS - PRICE TO BOOK VAL,9.3,5.55,8.04,10.21,6.35,5.88,5.19,6.82
BGF CO LTD - RETURN ON ASSETS,3.99,1.71,1.67,3.68,3.9,4,4.52,NA
BGF CO LTD - TOTAL DEBT % COMMON EQUITY,1.85,3.34,1.32,4.01,2.52,4.19,6.86,NA
BGF CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,1.78,3.18,1.28,3.47,2.22,3.49,5.64,NA
BGF CO LTD - BOOK VALUE-OUT SHARES-FISCAL,15720.137,15699.883,15781.842,16392.527,16528.076,17285.766,18201.683,NA
BGF CO LTD - PRICE TO BOOK VAL,0.8,0.55,0.29,0.46,0.32,0.25,0.2,0.19
BGF RETAIL CO LTD - RETURN ON ASSETS,11.59,9.11,6.02,6.55,7.79,7.58,7.17,NA
BGF RETAIL CO LTD - TOTAL DEBT % COMMON EQUITY,0.98,89.23,88.92,89.33,84.69,82.86,73.13,NA
BGF RETAIL CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,0.97,47.15,47.07,47.18,45.86,45.31,42.24,NA
BGF RETAIL CO LTD - BOOK VALUE-OUT SHARES-FISCAL,30197.542,36040.244,40337.326,46849.127,55723.694,62196.939,68545.987,NA
BGF RETAIL CO LTD - PRICE TO BOOK VAL,5.93,6.19,3.67,3.46,3.27,2.98,1.76,1.51
SK INC - RETURN ON ASSETS,2.68,1.25,1.18,2.16,1.32,1.22,-0.05,NA
SK INC - TOTAL DEBT % COMMON EQUITY,224.71,289.84,315.04,297.25,370.35,406.27,350.83,NA
SK INC - TOTAL DEBT % TOTAL CAPITAL/STD,42.34,48.1,51.44,49.07,52.69,51.95,52.32,NA
SK INC - BOOK VALUE-OUT SHARES-FISCAL,297852.161,319010.885,333319.957,378818.674,391402.366,377782.013,460644.117,NA
SK INC - PRICE TO BOOK VAL,0.99,0.84,0.54,0.77,0.63,0.46,0.35,0.26
CHEIL WORLDWIDE INC - RETURN ON ASSETS,6.01,6.51,7.35,7.24,7.56,6.94,6.94,NA
CHEIL WORLDWIDE INC - TOTAL DEBT % COMMON EQUITY,1.99,17.88,16.84,18.31,16.21,13.42,10.75,NA
CHEIL WORLDWIDE INC - TOTAL DEBT % TOTAL CAPITAL/STD,1.93,15.03,14.31,15.36,13.86,11.75,9.61,NA
CHEIL WORLDWIDE INC - BOOK VALUE-OUT SHARES-FISCAL,8714.851,9346.667,9948.206,11030.374,11967.386,12703.144,14395.882,NA
CHEIL WORLDWIDE INC - PRICE TO BOOK VAL,2.12,2.67,1.7,1.97,2.08,1.5,1.32,1.21
HD HYUNDAI CONSTR - RETURN ON ASSETS,4.26,1,0.72,3.91,3.81,5.13,4.02,NA
HD HYUNDAI CONSTR - TOTAL DEBT % COMMON EQUITY,82.05,94.6,101.61,96.22,67.87,51.71,41.46,NA
HD HYUNDAI CONSTR - TOTAL DEBT % TOTAL CAPITAL/STD,39.27,42.07,43.81,45.2,37.33,31.52,27.7,NA
HD HYUNDAI CONSTR - BOOK VALUE-OUT SHARES-FISCAL,65020.095,63529.54,63930.065,69619.183,80387.396,86603.562,93865.245,NA
HD HYUNDAI CONSTR - PRICE TO BOOK VAL,1.31,0.81,0.27,0.75,0.44,0.57,0.6,0.66
CJ CORP - RETURN ON ASSETS,1.73,1.76,0.8,1.48,1.44,1.44,0.66,NA
CJ CORP - TOTAL DEBT % COMMON EQUITY,303.1,382.04,350.51,331.77,385.74,330.61,344.39,NA
CJ CORP - TOTAL DEBT % TOTAL CAPITAL/STD,49.49,53.92,51.21,50.36,52.84,50.32,51.29,NA
CJ CORP - BOOK VALUE-OUT SHARES-FISCAL,156165.395,165462.945,170411.155,186026.308,190338.421,202579.749,200549.222,NA
CJ CORP - PRICE TO BOOK VAL,0.94,0.76,0.43,0.5,0.46,0.52,0.6,0.58
CJ CHEILJEDANG CORP - RETURN ON ASSETS,5.81,1.65,3.46,3.11,2.94,2.62,1.6,NA
CJ CHEILJEDANG CORP - TOTAL DEBT % COMMON EQUITY,165.91,205.81,180.21,159.89,171.96,156.45,148.12,NA
CJ CHEILJEDANG CORP - TOTAL DEBT % TOTAL CAPITAL/STD,52.06,51.44,48.32,47.49,50.19,48.71,48.75,NA
CJ CHEILJEDANG CORP - BOOK VALUE-OUT SHARES-FISCAL,298493.75,304613.493,329172.473,381542.424,421620.882,446324.906,490755.458,NA
CJ CHEILJEDANG CORP - PRICE TO BOOK VAL,1.1,1.07,0.7,1.1,0.94,0.71,0.64,0.47
CELLTRION HEALTHCARE - RETURN ON ASSETS,0.41,2.48,7.57,4.21,3.65,NA,NA,NA
CELLTRION HEALTHCARE - TOTAL DEBT % COMMON EQUITY,1.03,6.99,10.5,19.23,17.78,NA,NA,NA
CELLTRION HEALTHCARE - TOTAL DEBT % TOTAL CAPITAL/STD,1.02,6.53,9.5,16.13,15.1,NA,NA,NA
CELLTRION HEALTHCARE - BOOK VALUE-OUT SHARES-FISCAL,10344.541,10817.793,12134.624,13208.6,13292.447,NA,NA,NA
CELLTRION HEALTHCARE - PRICE TO BOOK VAL,8.35,5.8,6.07,9.14,4.34,5.03,5.71,5.71
SAMSUNG C&T - RETURN ON ASSETS,4.05,2.59,2.22,3.11,NA,3.86,3.75,NA
SAMSUNG C&T - TOTAL DEBT % COMMON EQUITY,22.64,16.44,11.97,10.74,23.68,15.07,14.84,NA
SAMSUNG C&T - TOTAL DEBT % TOTAL CAPITAL/STD,16.69,12.93,9.88,8.91,16.5,11.45,11.01,NA
SAMSUNG C&T - BOOK VALUE-OUT SHARES-FISCAL,120938.277,146097.401,183093.523,184351.942,163048.302,209232.627,189865.446,NA
SAMSUNG C&T - PRICE TO BOOK VAL,1.15,0.76,0.51,0.7,0.67,0.52,0.7,0.55
DONG SUH COMPANIES - RETURN ON ASSETS,8.27,9.41,7.8,7.3,10.46,8.73,9.07,NA
DONG SUH COMPANIES - TOTAL DEBT % COMMON EQUITY,0,0.07,0.05,0.13,0.14,0.17,0.24,NA
DONG SUH COMPANIES - TOTAL DEBT % TOTAL CAPITAL/STD,0,0.07,0.05,0.13,0.14,0.17,0.23,NA
DONG SUH COMPANIES - BOOK VALUE-OUT SHARES-FISCAL,12810.571,13558.619,14005.252,14530.8,15510.044,16295.858,17171.556,NA
DONG SUH COMPANIES - PRICE TO BOOK VAL,2.13,1.48,1.17,2.18,1.69,1.17,1.04,1.39
DOUZONE BIZON CO LTD - RETURN ON ASSETS,15.75,10.61,8.29,7.01,3.58,5.42,7.45,NA
DOUZONE BIZON CO LTD - TOTAL DEBT % COMMON EQUITY,10.37,75.73,70.03,55.34,63.08,65.38,55.99,NA
DOUZONE BIZON CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,9.27,42.81,40.88,35.27,38.25,38.51,35.2,NA
DOUZONE BIZON CO LTD - BOOK VALUE-OUT SHARES-FISCAL,6175.266,12349.471,13323.63,16256.369,15281.299,15475.637,19205.548,NA
DOUZONE BIZON CO LTD - PRICE TO BOOK VAL,9,3.9,6.02,5.38,2.89,2.15,2.95,2.98
KOREA INV HLDGS - RETURN ON ASSETS,1.66,2.02,1.89,2.81,2.18,2.79,2.82,NA
KOREA INV HLDGS - TOTAL DEBT % COMMON EQUITY,523.26,509.2,564.67,536.21,547.41,624.27,622.61,NA
KOREA INV HLDGS - TOTAL DEBT % TOTAL CAPITAL/STD,81.49,82.46,83.85,80.78,80.66,82.3,82.64,NA
KOREA INV HLDGS - BOOK VALUE-OUT SHARES-FISCAL,81294.317,94321.974,105852.079,139724.864,145058.349,158221.423,182437.183,NA
KOREA INV HLDGS - PRICE TO BOOK VAL,0.99,0.77,0.45,0.71,0.53,0.35,0.35,0.37
ORION HOLDINGS CORP - RETURN ON ASSETS,1.49,1.28,1.89,1.96,2.15,1.77,2.97,NA
ORION HOLDINGS CORP - TOTAL DEBT % COMMON EQUITY,24.78,18.63,16.7,16.58,8.95,5.1,7.82,NA
ORION HOLDINGS CORP - TOTAL DEBT % TOTAL CAPITAL/STD,12.77,9.71,8.59,8.24,4.48,2.53,3.66,NA
ORION HOLDINGS CORP - BOOK VALUE-OUT SHARES-FISCAL,31186.935,32018.583,32688.178,34867.188,35981.665,36513.324,39410.125,NA
ORION HOLDINGS CORP - PRICE TO BOOK VAL,0.81,0.62,0.42,0.45,0.39,0.46,0.36,0.41
DONGKUK HOLDINGS - RETURN ON ASSETS,-3.03,0.94,2.09,10.28,7.44,5.3,0.71,NA
DONGKUK HOLDINGS - TOTAL DEBT % COMMON EQUITY,142.24,147.81,114.77,84.75,63.11,15.14,15.13,NA
DONGKUK HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,56.94,57.94,51.75,44.5,37.37,11.96,11.93,NA
DONGKUK HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,119742.623,114923.874,127942.698,168732.499,203495.833,51267.15,51228.101,NA
DONGKUK HOLDINGS - PRICE TO BOOK VAL,0.49,0.42,0.19,0.62,0.48,0.21,0.16,0.13
DL HOLDINGS - RETURN ON ASSETS,5.77,5.84,4.01,10.01,2.06,1.37,2.21,NA
DL HOLDINGS - TOTAL DEBT % COMMON EQUITY,49.53,45.92,92.67,75.6,133,150.66,145.44,NA
DL HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,30.53,28.74,42.6,39.56,53.14,56.01,55.46,NA
DL HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,347706.944,383146.46,166570.711,187417.827,193563.36,183072.94,195780.286,NA
DL HOLDINGS - PRICE TO BOOK VAL,0.49,0.57,1.02,0.45,0.31,0.28,0.27,0.15
HD HYUNDAI - RETURN ON ASSETS,3.57,3.33,2.25,6.31,6.26,6.19,3.44,NA
HD HYUNDAI - TOTAL DEBT % COMMON EQUITY,222.7,179.2,183.64,130.19,3.68,72.03,64.43,NA
HD HYUNDAI - TOTAL DEBT % TOTAL CAPITAL/STD,52.77,48.28,49.31,56.57,3.55,41.89,39.21,NA
HD HYUNDAI - BOOK VALUE-OUT SHARES-FISCAL,22454.848,26035.333,26850.832,6942.278,8270.674,9096.732,9602.082,NA
HD HYUNDAI - PRICE TO BOOK VAL,0.94,0.71,0.4,1.24,0.75,0.83,0.87,0.82
YUANTA SECURITIES - RETURN ON ASSETS,1.81,1.67,1.2,1.35,1.16,1.72,1.87,NA
YUANTA SECURITIES - TOTAL DEBT % COMMON EQUITY,483.75,432.88,475.64,413.72,396.62,537.07,551.58,NA
YUANTA SECURITIES - TOTAL DEBT % TOTAL CAPITAL/STD,82.06,80.42,81.93,79.85,79.17,83.75,84.12,NA
YUANTA SECURITIES - BOOK VALUE-OUT SHARES-FISCAL,5838.575,6224.024,6863.373,7579.884,7746.339,7976.606,8146.91,NA
YUANTA SECURITIES - PRICE TO BOOK VAL,0.71,0.52,0.34,0.57,0.47,0.35,0.32,0.33
MIRAE ASSET - RETURN ON ASSETS,1.77,2.06,1.15,1.3,1.84,3.28,3.79,NA
MIRAE ASSET - TOTAL DEBT % COMMON EQUITY,929.41,1023.12,837.27,558.06,597.41,679.99,705.42,NA
MIRAE ASSET - TOTAL DEBT % TOTAL CAPITAL/STD,90.17,90.97,89.18,82.54,83.35,85.19,85.96,NA
MIRAE ASSET - BOOK VALUE-OUT SHARES-FISCAL,11968.576,13134.41,14377.577,16934.529,16771.362,18465.431,20463.298,NA
MIRAE ASSET - PRICE TO BOOK VAL,0.75,0.59,0.36,0.61,0.5,0.36,0.38,0.45
KAKAO CORP - RETURN ON ASSETS,0.69,-3.48,1.59,8.21,6.39,-3.61,1.04,NA
KAKAO CORP - TOTAL DEBT % COMMON EQUITY,12.74,14.43,15.14,33.15,41.64,46.01,41.92,NA
KAKAO CORP - TOTAL DEBT % TOTAL CAPITAL/STD,10.42,11.61,11.38,19.59,23.53,24.48,23.37,NA
KAKAO CORP - BOOK VALUE-OUT SHARES-FISCAL,12979.337,12746.466,14646.597,23017.846,22892.826,22281.112,23100.434,NA
KAKAO CORP - PRICE TO BOOK VAL,1.87,1.61,2.2,4.85,4.15,2.66,2.08,1.69
HYOSUNG CORP - RETURN ON ASSETS,32.43,2.03,-0.49,9.51,1.22,1.67,11.08,NA
HYOSUNG CORP - TOTAL DEBT % COMMON EQUITY,102.94,107.13,42.2,46.62,54.03,52.16,45.45,NA
HYOSUNG CORP - TOTAL DEBT % TOTAL CAPITAL/STD,48.2,49.1,27.26,29.03,32.27,31.65,28.12,NA
HYOSUNG CORP - BOOK VALUE-OUT SHARES-FISCAL,146885.524,146749.91,137137.643,161207.903,156897.139,151346.796,128946.91,NA
HYOSUNG CORP - PRICE TO BOOK VAL,0.59,0.62,0.6,0.65,0.65,0.54,0.34,0.38
E-MART INC - RETURN ON ASSETS,3.14,1.82,2.04,6.46,3.99,0.99,-0.29,NA
