Name,2014,2015,2016,2017
TAKEDA PHAR CO LTD - PRICE TO BOOK VAL,1.52,1.45,1.08,1.02
T&D HOLDINGS INC - RETURN ON ASSETS,0.52,0.47,0.42,0.95
T&D HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,21.35,20.59,28.58,21.84
T&D HOLDINGS INC - TOTAL DEBT % TOTAL CAPITAL/STD,12.83,12.8,17.86,12.01
T&D HOLDINGS INC - BOOK VALUE-OUT SHARES-FISCAL,1277.811,1350.054,1422.075,1644.478
T&D HOLDINGS INC - PRICE TO BOOK VAL,1.25,0.82,0.56,0.88
TAISHO PHARM. - RETURN ON ASSETS,4.07,6.05,2.49,1.56
TAISHO PHARM. - TOTAL DEBT % COMMON EQUITY,0.08,0.06,0.44,0.36
TAISHO PHARM. - TOTAL DEBT % TOTAL CAPITAL/STD,0.08,0.06,0.42,0.34
TAISHO PHARM. - BOOK VALUE-OUT SHARES-FISCAL,8459.215,8932.846,8921.701,9139.994
TAISHO PHARM. - PRICE TO BOOK VAL,1.12,1.16,0.72,0.73
TAISEI CORP - RETURN ON ASSETS,6.94,6.06,6.61,4.98
TAISEI CORP - TOTAL DEBT % COMMON EQUITY,37.18,30.28,27.83,26.16
TAISEI CORP - TOTAL DEBT % TOTAL CAPITAL/STD,27.05,23.19,21.69,20.67
TAISEI CORP - BOOK VALUE-OUT SHARES-FISCAL,2975.016,3302.854,3550.027,4084.809
TAISEI CORP - PRICE TO BOOK VAL,1.65,1.34,0.83,0.98
TDK CORP - RETURN ON ASSETS,3.81,4.45,3.1,3.82
TDK CORP - TOTAL DEBT % COMMON EQUITY,58.57,59.3,50.32,48.16
TDK CORP - TOTAL DEBT % TOTAL CAPITAL/STD,36.75,37.06,33.35,32.45
TDK CORP - BOOK VALUE-OUT SHARES-FISCAL,435.467,463.113,445.41,529.615
TDK CORP - PRICE TO BOOK VAL,1.37,1.39,1.1,1.63
TOKYO ELECTRIC POWER - RETURN ON ASSETS,3.05,2.23,0.68,1.84
TOKYO ELECTRIC POWER - TOTAL DEBT % COMMON EQUITY,371.48,318.1,263.24,235.31
TOKYO ELECTRIC POWER - TOTAL DEBT % TOTAL CAPITAL/STD,69.78,67.43,63.17,61.41
TOKYO ELECTRIC POWER - BOOK VALUE-OUT SHARES-FISCAL,1030.665,1179.248,1185.978,1326.506
TOKYO ELECTRIC POWER - PRICE TO BOOK VAL,0.36,0.54,0.28,0.26
TERUMO CORP - RETURN ON ASSETS,9.04,7.53,7.5,6.22
TERUMO CORP - TOTAL DEBT % COMMON EQUITY,61.02,32.36,36.83,34.21
TERUMO CORP - TOTAL DEBT % TOTAL CAPITAL/STD,37.89,24.45,26.92,25.49
TERUMO CORP - BOOK VALUE-OUT SHARES-FISCAL,389.475,939.605,501.681,566.566
TERUMO CORP - PRICE TO BOOK VAL,1.47,3.36,3.28,3
TOKYU FUDOSAN - RETURN ON ASSETS,1.89,1.9,1.85,1.09
TOKYU FUDOSAN - TOTAL DEBT % COMMON EQUITY,261.48,233.13,236.77,251.59
TOKYU FUDOSAN - TOTAL DEBT % TOTAL CAPITAL/STD,72.03,69.71,69.92,71.15
TOKYU FUDOSAN - BOOK VALUE-OUT SHARES-FISCAL,768.851,780.784,811.038,829.497
TOKYU FUDOSAN - PRICE TO BOOK VAL,0.96,0.77,0.6,0.73
TBS HOLDINGS INC - RETURN ON ASSETS,2.28,3.13,3.83,2.99
TBS HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,3.8,0.66,0.5,3.64
TBS HOLDINGS INC - TOTAL DEBT % TOTAL CAPITAL/STD,3.57,0.63,0.49,3.46
TBS HOLDINGS INC - BOOK VALUE-OUT SHARES-FISCAL,3349.525,3347.027,3356.306,4575.6
TBS HOLDINGS INC - PRICE TO BOOK VAL,0.66,0.61,0.36,0.43
"THK CO., LTD. - RETURN ON ASSETS",7.93,2.57,-2.09,4.81
"THK CO., LTD. - TOTAL DEBT % COMMON EQUITY",23.87,38.04,42.55,36.88
"THK CO., LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",18.68,26.81,29.18,26.33
"THK CO., LTD. - BOOK VALUE-OUT SHARES-FISCAL",2240.739,2214.977,2105.539,2442.91
"THK CO., LTD. - PRICE TO BOOK VAL",1.77,1.32,1.12,1.67
"TOHO GAS CO., LTD. - RETURN ON ASSETS",3.52,2.85,3.09,1.58
"TOHO GAS CO., LTD. - TOTAL DEBT % COMMON EQUITY",34.52,39.21,40.09,36.05
"TOHO GAS CO., LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",25.66,28.17,28.62,26.5
"TOHO GAS CO., LTD. - BOOK VALUE-OUT SHARES-FISCAL",3068.283,3078.369,3056.413,3404.329
"TOHO GAS CO., LTD. - PRICE TO BOOK VAL",1.06,1.56,1.53,1.77
TOKAI RIKA CO. LTD. - RETURN ON ASSETS,5.91,4.79,3.99,3.05
TOKAI RIKA CO. LTD. - TOTAL DEBT % COMMON EQUITY,5.53,4.68,4.79,4.3
TOKAI RIKA CO. LTD. - TOTAL DEBT % TOTAL CAPITAL/STD,4.99,4.24,4.34,3.9
TOKAI RIKA CO. LTD. - BOOK VALUE-OUT SHARES-FISCAL,2412.101,2507.785,2502.748,2796.561
TOKAI RIKA CO. LTD. - PRICE TO BOOK VAL,0.86,0.8,0.49,0.63
TIS INC - RETURN ON ASSETS,5.99,7.24,8.1,6.86
TIS INC - TOTAL DEBT % COMMON EQUITY,17.7,13.99,10.91,18.67
TIS INC - TOTAL DEBT % TOTAL CAPITAL/STD,14.77,12.06,9.63,15.31
TIS INC - BOOK VALUE-OUT SHARES-FISCAL,867.356,906.594,963.414,1078.595
TIS INC - PRICE TO BOOK VAL,1.52,1.81,1.82,2.23
TEIJIN LIMITED - RETURN ON ASSETS,4.9,4.79,2.76,-0.38
TEIJIN LIMITED - TOTAL DEBT % COMMON EQUITY,87.31,89.59,96.61,93.37
TEIJIN LIMITED - TOTAL DEBT % TOTAL CAPITAL/STD,45.72,46.33,48.12,47.02
TEIJIN LIMITED - BOOK VALUE-OUT SHARES-FISCAL,1990.62,2145.938,2057.586,2120.285
TEIJIN LIMITED - PRICE TO BOOK VAL,0.94,0.93,0.83,0.81
"TAKASHIMAYA CO., LTD - RETURN ON ASSETS",2.4,1.61,1.77,-2.57
"TAKASHIMAYA CO., LTD - TOTAL DEBT % COMMON EQUITY",39.92,44.51,66.45,74.44
"TAKASHIMAYA CO., LTD - TOTAL DEBT % TOTAL CAPITAL/STD",28.06,29.98,38.79,41.42
"TAKASHIMAYA CO., LTD - BOOK VALUE-OUT SHARES-FISCAL",1256.67,1270.28,1303.587,1182.483
"TAKASHIMAYA CO., LTD - PRICE TO BOOK VAL",0.72,0.51,0.41,0.47
TOKYO STEEL MFG. CO. - RETURN ON ASSETS,7.02,8.67,7.63,3.26
TOKYO STEEL MFG. CO. - TOTAL DEBT % COMMON EQUITY,1.64,1.64,2.64,3.59
TOKYO STEEL MFG. CO. - TOTAL DEBT % TOTAL CAPITAL/STD,1.62,1.62,2.57,3.46
TOKYO STEEL MFG. CO. - BOOK VALUE-OUT SHARES-FISCAL,829.8,921.564,1014.725,1093.643
TOKYO STEEL MFG. CO. - PRICE TO BOOK VAL,0.94,0.87,0.61,0.69
PERSOL HOLDINGS - RETURN ON ASSETS,2.36,6.52,2.16,4.35
PERSOL HOLDINGS - TOTAL DEBT % COMMON EQUITY,72.84,39.2,50.75,41.96
PERSOL HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,39.85,26.3,31.4,27.35
PERSOL HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,62.389,66.65,63.991,68.28
PERSOL HOLDINGS - PRICE TO BOOK VAL,4.36,3.01,1.52,2.7
NIPPON SANSO - RETURN ON ASSETS,5.67,3.44,3.59,3.6
NIPPON SANSO - TOTAL DEBT % COMMON EQUITY,84.6,247.27,235.15,177.84
NIPPON SANSO - TOTAL DEBT % TOTAL CAPITAL/STD,44.24,69.76,68.6,62.66
NIPPON SANSO - BOOK VALUE-OUT SHARES-FISCAL,893.007,939.564,945.905,1185.82
NIPPON SANSO - PRICE TO BOOK VAL,1.71,1.89,1.38,1.47
SYSMEX CORPORATION - RETURN ON ASSETS,13.3,12.55,9.82,8.39
SYSMEX CORPORATION - TOTAL DEBT % COMMON EQUITY,0.22,0.23,8.25,7.17
SYSMEX CORPORATION - TOTAL DEBT % TOTAL CAPITAL/STD,0.22,0.23,7.6,6.67
SYSMEX CORPORATION - BOOK VALUE-OUT SHARES-FISCAL,384.857,422.358,443.259,491.074
SYSMEX CORPORATION - PRICE TO BOOK VAL,7.43,4.86,5.36,6.69
"TOYOBO CO., LTD. - RETURN ON ASSETS",3.19,0.16,3.21,1
"TOYOBO CO., LTD. - TOTAL DEBT % COMMON EQUITY",80.63,93.31,98.45,100.66
"TOYOBO CO., LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",44.1,47.62,48.95,49.78
"TOYOBO CO., LTD. - BOOK VALUE-OUT SHARES-FISCAL",2034.04,1989.299,2003.014,2090.473
"TOYOBO CO., LTD. - PRICE TO BOOK VAL",1.06,0.75,0.55,0.65
TOHO CO LTD (TOKYO) - RETURN ON ASSETS,7.81,6.7,7.75,3.07
TOHO CO LTD (TOKYO) - TOTAL DEBT % COMMON EQUITY,1.08,1.01,0.94,0.93
TOHO CO LTD (TOKYO) - TOTAL DEBT % TOTAL CAPITAL/STD,1.03,0.97,0.9,0.89
TOHO CO LTD (TOKYO) - BOOK VALUE-OUT SHARES-FISCAL,1885.287,1974.849,2091.98,2115.436
TOHO CO LTD (TOKYO) - PRICE TO BOOK VAL,1.82,2.09,1.58,2.1
TOHO HOLDINGS - RETURN ON ASSETS,2.32,2.13,2.44,0.74
TOHO HOLDINGS - TOTAL DEBT % COMMON EQUITY,13.07,17.7,19.37,18.49
TOHO HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,11.56,15.04,16.23,15.61
TOHO HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,3033.038,3137.909,3276.215,3366.95
TOHO HOLDINGS - PRICE TO BOOK VAL,0.8,0.81,0.7,0.57
TOKUYAMA CORPORATION - RETURN ON ASSETS,5.55,10.54,5.87,7.02
TOKUYAMA CORPORATION - TOTAL DEBT % COMMON EQUITY,111.35,90.96,77.78,54.31
TOKUYAMA CORPORATION - TOTAL DEBT % TOTAL CAPITAL/STD,50.6,45.94,42.13,34.44
TOKUYAMA CORPORATION - BOOK VALUE-OUT SHARES-FISCAL,1806.544,2199.834,2431.211,2758.354
TOKUYAMA CORPORATION - PRICE TO BOOK VAL,1.56,1.17,0.77,0.91
TOYO SUISAN KAISHA - RETURN ON ASSETS,5.08,4.9,5.96,7.08
TOYO SUISAN KAISHA - TOTAL DEBT % COMMON EQUITY,1.53,1.54,1.42,1.26
TOYO SUISAN KAISHA - TOTAL DEBT % TOTAL CAPITAL/STD,1.45,1.46,1.35,1.2
TOYO SUISAN KAISHA - BOOK VALUE-OUT SHARES-FISCAL,2740.692,2904.555,3002.584,3245.529
TOYO SUISAN KAISHA - PRICE TO BOOK VAL,1.4,1.4,1.58,1.34
TOTO LTD. - RETURN ON ASSETS,6.64,5.76,4.15,4.49
TOTO LTD. - TOTAL DEBT % COMMON EQUITY,10.77,19.33,18.85,27.44
TOTO LTD. - TOTAL DEBT % TOTAL CAPITAL/STD,9.51,15.91,15.6,21.23
TOTO LTD. - BOOK VALUE-OUT SHARES-FISCAL,1971.589,2003.316,1976.058,2166.008
TOTO LTD. - PRICE TO BOOK VAL,3.02,2.36,1.68,2.7
TOYO SEIKAN GROUP - RETURN ON ASSETS,-2.04,1.98,-0.02,1.63
TOYO SEIKAN GROUP - TOTAL DEBT % COMMON EQUITY,21.87,26.85,23.62,20.56
TOYO SEIKAN GROUP - TOTAL DEBT % TOTAL CAPITAL/STD,16.44,20.56,18.47,16.49
TOYO SEIKAN GROUP - BOOK VALUE-OUT SHARES-FISCAL,3193.972,3239.81,3184.558,3327.698
TOYO SEIKAN GROUP - PRICE TO BOOK VAL,0.49,0.71,0.36,0.39
TORAY INDUSTRIES - RETURN ON ASSETS,4.02,3.17,2.25,1.8
TORAY INDUSTRIES - TOTAL DEBT % COMMON EQUITY,74.73,86.21,84.81,78.68
TORAY INDUSTRIES - TOTAL DEBT % TOTAL CAPITAL/STD,41.11,44.57,44.06,42.41
TORAY INDUSTRIES - BOOK VALUE-OUT SHARES-FISCAL,682.754,707.789,684.615,773.439
TORAY INDUSTRIES - PRICE TO BOOK VAL,1.4,1.12,0.6,0.78
TOSHIBA CORPORATION - RETURN ON ASSETS,19.34,23.86,-2.91,3.52
TOSHIBA CORPORATION - TOTAL DEBT % COMMON EQUITY,88.42,29.84,25.15,33.87
TOSHIBA CORPORATION - TOTAL DEBT % TOTAL CAPITAL/STD,40.66,20.37,18.01,23.22
TOSHIBA CORPORATION - BOOK VALUE-OUT SHARES-FISCAL,1201.78,2691.212,2071.983,2565.952
TOSHIBA CORPORATION - PRICE TO BOOK VAL,1.09,1.78,1.05,1.53
TOSOH CORP - RETURN ON ASSETS,11.03,9.23,6.46,6.94
TOSOH CORP - TOTAL DEBT % COMMON EQUITY,22.1,18.8,17.16,20.96
TOSOH CORP - TOTAL DEBT % TOTAL CAPITAL/STD,17.05,14.93,13.78,16.32
TOSOH CORP - BOOK VALUE-OUT SHARES-FISCAL,1512.557,1666.382,1748.023,1935.533
TOSOH CORP - PRICE TO BOOK VAL,1.18,1.04,0.69,0.96
TSUMURA & CO. - RETURN ON ASSETS,5.68,5.08,4.64,4.93
TSUMURA & CO. - TOTAL DEBT % COMMON EQUITY,33.51,24.73,31.88,24.38
TSUMURA & CO. - TOTAL DEBT % TOTAL CAPITAL/STD,24.82,19.49,23.51,18.55
TSUMURA & CO. - BOOK VALUE-OUT SHARES-FISCAL,2532.11,2639.567,2684.375,2846.593
TSUMURA & CO. - PRICE TO BOOK VAL,1.41,1.25,1.01,1.27
TOHO TITANIUM CO. - RETURN ON ASSETS,4.32,7.92,2.92,-3.44
TOHO TITANIUM CO. - TOTAL DEBT % COMMON EQUITY,85.58,68.9,65.81,88.81
TOHO TITANIUM CO. - TOTAL DEBT % TOTAL CAPITAL/STD,46.04,40.73,39.63,46.96
TOHO TITANIUM CO. - BOOK VALUE-OUT SHARES-FISCAL,588.872,668.819,676.226,622.809
TOHO TITANIUM CO. - PRICE TO BOOK VAL,1.96,1.4,1,1.48
TAKARA HOLDING - RETURN ON ASSETS,4.09,3.76,3.26,3.68
TAKARA HOLDING - TOTAL DEBT % COMMON EQUITY,33.1,32.03,31.18,32.34
TAKARA HOLDING - TOTAL DEBT % TOTAL CAPITAL/STD,21.42,20.89,20.26,20.94
TAKARA HOLDING - BOOK VALUE-OUT SHARES-FISCAL,726.898,742.363,747.393,793.534
TAKARA HOLDING - PRICE TO BOOK VAL,1.65,1.68,0.93,1.66
TOYOTA INDUSTRIES - RETURN ON ASSETS,3.57,3.04,2.87,2.4
TOYOTA INDUSTRIES - TOTAL DEBT % COMMON EQUITY,49.96,55.84,54.94,41.57
TOYOTA INDUSTRIES - TOTAL DEBT % TOTAL CAPITAL/STD,32.63,35.09,34.71,28.82
TOYOTA INDUSTRIES - BOOK VALUE-OUT SHARES-FISCAL,8223.819,7986.591,7854.865,10422.637
TOYOTA INDUSTRIES - PRICE TO BOOK VAL,0.79,0.77,0.51,0.75
TOYOTA BOSHOKU CORP - RETURN ON ASSETS,6.29,3.68,3.32,4
TOYOTA BOSHOKU CORP - TOTAL DEBT % COMMON EQUITY,40.91,56.17,56.34,50.32
TOYOTA BOSHOKU CORP - TOTAL DEBT % TOTAL CAPITAL/STD,25.83,33.26,33.76,31.32
TOYOTA BOSHOKU CORP - BOOK VALUE-OUT SHARES-FISCAL,1414.909,1573.439,1557.927,1792.56
TOYOTA BOSHOKU CORP - PRICE TO BOOK VAL,1.53,1.13,0.71,0.91
TOYODA GOSEI CO. - RETURN ON ASSETS,3.56,3.65,1.95,5.26
TOYODA GOSEI CO. - TOTAL DEBT % COMMON EQUITY,38.81,35.84,47.57,43.06
TOYODA GOSEI CO. - TOTAL DEBT % TOTAL CAPITAL/STD,26.49,25.03,30.72,28.6
TOYODA GOSEI CO. - BOOK VALUE-OUT SHARES-FISCAL,2539.007,2735.896,2665.985,3021.158
TOYODA GOSEI CO. - PRICE TO BOOK VAL,0.92,0.95,0.63,0.86
TOYOTA MOTOR CORP - RETURN ON ASSETS,5.12,3.75,4.04,3.94
TOYOTA MOTOR CORP - TOTAL DEBT % COMMON EQUITY,103.26,104.15,102.45,109.64
TOYOTA MOTOR CORP - TOTAL DEBT % TOTAL CAPITAL/STD,49.27,49.49,49.18,51.37
TOYOTA MOTOR CORP - BOOK VALUE-OUT SHARES-FISCAL,1287.73,1366.183,1450.435,1674.176
TOYOTA MOTOR CORP - PRICE TO BOOK VAL,1,0.93,0.79,0.88
TOYOTA TSUSHO CORP - RETURN ON ASSETS,3.53,3.46,3.49,3.12
TOYOTA TSUSHO CORP - TOTAL DEBT % COMMON EQUITY,125.82,126.08,136.52,119.37
TOYOTA TSUSHO CORP - TOTAL DEBT % TOTAL CAPITAL/STD,52.04,52.04,54.34,51.41
TOYOTA TSUSHO CORP - BOOK VALUE-OUT SHARES-FISCAL,1112.782,1132.775,1133.673,1392.356
TOYOTA TSUSHO CORP - PRICE TO BOOK VAL,1.07,1.09,0.59,0.97
"TOKYO GAS CO., LTD. - RETURN ON ASSETS",3.68,3.95,2.08,2.28
"TOKYO GAS CO., LTD. - TOTAL DEBT % COMMON EQUITY",63.82,68.44,78.85,92.39
"TOKYO GAS CO., LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",38.7,40.38,43.84,47.5
"TOKYO GAS CO., LTD. - BOOK VALUE-OUT SHARES-FISCAL",2487.581,2575.994,2602.738,2616.369
"TOKYO GAS CO., LTD. - PRICE TO BOOK VAL",1.08,1.13,1,0.83
UBE CORP - RETURN ON ASSETS,4.55,4.57,3.29,3.26
UBE CORP - TOTAL DEBT % COMMON EQUITY,62.93,57.73,58.2,60.63
UBE CORP - TOTAL DEBT % TOTAL CAPITAL/STD,37.08,34.96,35.35,36.42
UBE CORP - BOOK VALUE-OUT SHARES-FISCAL,3009.259,3267.424,3293.401,3554.929
UBE CORP - PRICE TO BOOK VAL,0.98,0.74,0.48,0.6
SHIN-ETSU CHEMICAL - RETURN ON ASSETS,9.66,10.62,10.24,9.07
SHIN-ETSU CHEMICAL - TOTAL DEBT % COMMON EQUITY,0.67,0.6,1.14,1.22
SHIN-ETSU CHEMICAL - TOTAL DEBT % TOTAL CAPITAL/STD,0.65,0.59,1.1,1.18
SHIN-ETSU CHEMICAL - BOOK VALUE-OUT SHARES-FISCAL,1102.641,1183.644,1276.502,1354.913
SHIN-ETSU CHEMICAL - PRICE TO BOOK VAL,1.85,1.65,1.69,2.46
MARUI GROUP CO - RETURN ON ASSETS,2.63,3.02,3,0.33
MARUI GROUP CO - TOTAL DEBT % COMMON EQUITY,177.47,171.5,166.25,167.61
MARUI GROUP CO - TOTAL DEBT % TOTAL CAPITAL/STD,63.92,63.17,62.4,62.59
MARUI GROUP CO - BOOK VALUE-OUT SHARES-FISCAL,1245.215,1309.532,1351.566,1353.4
MARUI GROUP CO - PRICE TO BOOK VAL,1.67,1.63,1.28,1.6
SUMITOMO CORP - RETURN ON ASSETS,4.35,4.54,2.58,-1.52
SUMITOMO CORP - TOTAL DEBT % COMMON EQUITY,125.24,111.78,144.7,135.03
SUMITOMO CORP - TOTAL DEBT % TOTAL CAPITAL/STD,54.32,51.6,57.76,55.88
SUMITOMO CORP - BOOK VALUE-OUT SHARES-FISCAL,2048.934,2219.113,2036.475,2022.831
SUMITOMO CORP - PRICE TO BOOK VAL,0.83,0.77,0.61,0.6
TOHOKU ELEC. POWER - RETURN ON ASSETS,1.55,1.46,1.82,0.91
TOHOKU ELEC. POWER - TOTAL DEBT % COMMON EQUITY,339.77,320.35,311.6,296.79
TOHOKU ELEC. POWER - TOTAL DEBT % TOTAL CAPITAL/STD,75.67,74.57,74.07,73.12
TOHOKU ELEC. POWER - BOOK VALUE-OUT SHARES-FISCAL,1465.323,1528.689,1586.547,1654.458
TOHOKU ELEC. POWER - PRICE TO BOOK VAL,0.94,0.87,0.62,0.74
MITSUBISHI ELECTRIC - RETURN ON ASSETS,6.5,5.59,5.4,4.45
MITSUBISHI ELECTRIC - TOTAL DEBT % COMMON EQUITY,14.83,12.44,15.52,13.27
MITSUBISHI ELECTRIC - TOTAL DEBT % TOTAL CAPITAL/STD,12.42,10.62,12.93,11.29
MITSUBISHI ELECTRIC - BOOK VALUE-OUT SHARES-FISCAL,1052.965,1118.832,1132.691,1283.882
MITSUBISHI ELECTRIC - PRICE TO BOOK VAL,1.53,1.35,1.04,1.18
SUMCO CORP - RETURN ON ASSETS,10.86,5.95,4.57,6.27
SUMCO CORP - TOTAL DEBT % COMMON EQUITY,53.81,50.31,47.57,29.63
SUMCO CORP - TOTAL DEBT % TOTAL CAPITAL/STD,32.02,30.83,29.69,21.25
SUMCO CORP - BOOK VALUE-OUT SHARES-FISCAL,971.764,1030.391,1082.224,1359.773
SUMCO CORP - PRICE TO BOOK VAL,2.72,1.35,1.34,2.08
UNICHARM CORP - RETURN ON ASSETS,8.33,5.85,6.34,7.94
UNICHARM CORP - TOTAL DEBT % COMMON EQUITY,9.16,17.45,13.86,13.53
UNICHARM CORP - TOTAL DEBT % TOTAL CAPITAL/STD,7.43,13.2,10.83,10.62
UNICHARM CORP - BOOK VALUE-OUT SHARES-FISCAL,246.617,264.48,274.305,311.785
UNICHARM CORP - PRICE TO BOOK VAL,4.01,4.48,4.95,4.88
USHIO INC. - RETURN ON ASSETS,3.68,3.83,3.26,-0.09
USHIO INC. - TOTAL DEBT % COMMON EQUITY,12.47,13.7,11.17,11.8
USHIO INC. - TOTAL DEBT % TOTAL CAPITAL/STD,11.08,12.04,10.05,10.55
USHIO INC. - BOOK VALUE-OUT SHARES-FISCAL,1683.414,1691.452,1664.6,1750.792
USHIO INC. - PRICE TO BOOK VAL,0.86,0.81,0.6,0.75
USS CO LTD - RETURN ON ASSETS,11.76,11.44,9.3,1.91
USS CO LTD - TOTAL DEBT % COMMON EQUITY,2.09,1.71,1.68,1.85
USS CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,2.03,1.67,1.64,1.8
USS CO LTD - BOOK VALUE-OUT SHARES-FISCAL,336.733,359.82,365.551,344.61
USS CO LTD - PRICE TO BOOK VAL,3.09,2.86,2.37,2.88
UNITED URBAN INVEST - RETURN ON ASSETS,3.95,3.77,3.08,2.7
UNITED URBAN INVEST - TOTAL DEBT % COMMON EQUITY,72.29,73.59,81.12,83.81
UNITED URBAN INVEST - TOTAL DEBT % TOTAL CAPITAL/STD,41.96,42.39,44.79,45.59
UNITED URBAN INVEST - BOOK VALUE-OUT SHARES-FISCAL,116536.512,118002.085,117263.242,116490.626
UNITED URBAN INVEST - PRICE TO BOOK VAL,1.42,1.5,0.94,1.38
KYUSHU ELECTRIC - RETURN ON ASSETS,2.66,1.1,0,0.98
KYUSHU ELECTRIC - TOTAL DEBT % COMMON EQUITY,618.03,602.48,673.27,641.01
KYUSHU ELECTRIC - TOTAL DEBT % TOTAL CAPITAL/STD,83.34,83.01,84.35,83.86
KYUSHU ELECTRIC - BOOK VALUE-OUT SHARES-FISCAL,1117.123,1140.518,1079.603,1170.31
KYUSHU ELECTRIC - PRICE TO BOOK VAL,1.11,1.14,0.76,0.91
ODAKYU ELECTRIC RAIL - RETURN ON ASSETS,2.64,2.83,1.75,-2.6
ODAKYU ELECTRIC RAIL - TOTAL DEBT % COMMON EQUITY,203.1,188.9,192.14,227.6
ODAKYU ELECTRIC RAIL - TOTAL DEBT % TOTAL CAPITAL/STD,66.61,64.99,65.59,69.32
ODAKYU ELECTRIC RAIL - BOOK VALUE-OUT SHARES-FISCAL,998.676,1061.375,1066.008,963.4
ODAKYU ELECTRIC RAIL - PRICE TO BOOK VAL,2.04,2.38,2.44,3.1
FUJI MEDIA HOLDING - RETURN ON ASSETS,2.16,1.96,3.36,0.85
FUJI MEDIA HOLDING - TOTAL DEBT % COMMON EQUITY,30.35,30.31,33.58,37.12
FUJI MEDIA HOLDING - TOTAL DEBT % TOTAL CAPITAL/STD,22.81,22.84,24.81,26.75
FUJI MEDIA HOLDING - BOOK VALUE-OUT SHARES-FISCAL,3051.02,3150.575,3179.129,3479.468
FUJI MEDIA HOLDING - PRICE TO BOOK VAL,0.55,0.47,0.31,0.37
ITOCHU ENEX CO LTD - RETURN ON ASSETS,3.31,3.31,3.47,3.33
ITOCHU ENEX CO LTD - TOTAL DEBT % COMMON EQUITY,45.88,37,68.17,57.43
ITOCHU ENEX CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,27.99,23.84,36.55,32.65
ITOCHU ENEX CO LTD - BOOK VALUE-OUT SHARES-FISCAL,1028.571,1083.376,1136.892,1206.884
ITOCHU ENEX CO LTD - PRICE TO BOOK VAL,0.97,0.79,0.69,0.83
WELCIA HOLDINGS CO - RETURN ON ASSETS,6.54,5.79,6.6,7.05
WELCIA HOLDINGS CO - TOTAL DEBT % COMMON EQUITY,28.81,31.36,24.57,26.55
WELCIA HOLDINGS CO - TOTAL DEBT % TOTAL CAPITAL/STD,22.27,23.79,19.67,20.92
WELCIA HOLDINGS CO - BOOK VALUE-OUT SHARES-FISCAL,623.366,687.014,775.08,863.932
WELCIA HOLDINGS CO - PRICE TO BOOK VAL,3.71,2.64,4.28,3.73
WEST JAPAN RAILWAY - RETURN ON ASSETS,4.28,3.87,3.28,-6.62
WEST JAPAN RAILWAY - TOTAL DEBT % COMMON EQUITY,103.9,103.5,101.72,189.13
WEST JAPAN RAILWAY - TOTAL DEBT % TOTAL CAPITAL/STD,48.73,48.64,48.18,62.79
WEST JAPAN RAILWAY - BOOK VALUE-OUT SHARES-FISCAL,2636.709,2806.317,2923.636,2230.367
WEST JAPAN RAILWAY - PRICE TO BOOK VAL,1.33,1.4,1.63,1.49
"KANDENKO CO., LTD. - RETURN ON ASSETS",4.47,4.48,4.88,4.38
"KANDENKO CO., LTD. - TOTAL DEBT % COMMON EQUITY",18.01,15.52,14.76,6.15
"KANDENKO CO., LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",14.89,13.08,12.49,5.62
"KANDENKO CO., LTD. - BOOK VALUE-OUT SHARES-FISCAL",1097.353,1167.307,1211.127,1323.901
"KANDENKO CO., LTD. - PRICE TO BOOK VAL",1.09,0.77,0.66,0.69
YOKOGAWA ELECTRIC - RETURN ON ASSETS,4.9,6.31,3.18,3.94
YOKOGAWA ELECTRIC - TOTAL DEBT % COMMON EQUITY,11.48,11.38,20.79,17.72
YOKOGAWA ELECTRIC - TOTAL DEBT % TOTAL CAPITAL/STD,10.07,10.02,16.94,14.79
YOKOGAWA ELECTRIC - BOOK VALUE-OUT SHARES-FISCAL,1017.4,1085.881,1071.067,1155.062
YOKOGAWA ELECTRIC - PRICE TO BOOK VAL,2.01,2.21,1.21,1.68
SANTEN PHARMACEUT'L - RETURN ON ASSETS,9.5,8.24,5.97,1.71
SANTEN PHARMACEUT'L - TOTAL DEBT % COMMON EQUITY,2.66,1.4,4.07,4.87
SANTEN PHARMACEUT'L - TOTAL DEBT % TOTAL CAPITAL/STD,2.57,1.37,3.92,4.65
SANTEN PHARMACEUT'L - BOOK VALUE-OUT SHARES-FISCAL,702.544,728.855,758.262,769.311
SANTEN PHARMACEUT'L - PRICE TO BOOK VAL,2.39,2.18,2.39,1.79
YAMADA - RETURN ON ASSETS,2.67,1.33,2.23,4.49
YAMADA - TOTAL DEBT % COMMON EQUITY,56.5,53.43,38.79,36.14
